examples,labels
Código do app,codigo de ativacao
Código do app,codigo de ativacao
Assim posso ficar tranquila,qual e o
Ver mobile tokem,nao consigo visualizar
Não consigo ver a senha do token,nao consigo visualizar
Como faço pra visualizar a senha do tokem,e como faco
Foi uma perca do cartão,fiz uma transferencia
Meu cartão  está  dando duas prestao  do mesmo valor,quero saber como
Eu usei ele pela última vez na pizzaria,o pagamento da
Como arrumar a fatura do cartão,e como faco
Sobre fatura cartão,quero saber como
Quero saber pq meu aplicativo esta bloqueado,quero saber como
Seu código de segurança encontra se bloqueado,de saber se
"Fui realizar meu primeiro saque com cartão,",primeiro saque com
Primeiro saque com cartão,primeiro saque com
Fui realizar meu primeiro saque com cartão,primeiro saque com
Limites de crédito,cartao de credito
Pedir um limite de crédito,cartao de credito
Como solicitar um limite de crédito no cartão de débito,cartao de credito
Como mudar de estado na hora de  pagar um veículo,na minha conta
Até hoje não entrou limite,nao consigo visualizar
Vai cai dinheiro na minha conta só dia 20,da minha conta
Cartão de crédito,cartao de credito
Poderia verificar pra mim se foi efetuado um depósito,de saber se
Gostaria de saber se foi efetuado um depósito na conta do meu marido,de saber se
"*Roger*  sim, agência 0259 e a conta 86258-4",da minha conta
Goatrtia de saber se foi efetuado um depósito na conta do meu marido,de saber se
Gostaria de saber se foi efetuado um depósito pra mim,de saber se
Gostaria de saber se foi efetuado um depósito,de saber se
Posso efetuar um saque sem cartão porém meu cartão tá bloqueado,debito sem ter
tenho mais 2 cartoes do banco,banco do brasil
Não houve troca de nada e já uso o aplicativo,nao consigo visualizar
🙄🙄 não entendi esse saque de 3 reais,primeiro saque com
Como tem um saque de 3 reais na minha conta,primeiro saque com
Cartao de crédito,cartao de credito
Código de ativação,codigo de ativacao
Preciso do código de ativação do dispositivo,codigo de ativacao
Meu aplicativo do celular não está ativo,nao consigo visualizar
Empréstimo saque aniversário,primeiro saque com
Posso fazer isso hoje,qual e o
Só gostaria de saber se meu cartão ja está funcionando,de saber se
Banco do brasil,banco do brasil
Quero um chegue,quero saber como
Simule pra mim,o pagamento da
Preciso da sua ajida,preciso desbloquear meu
Meu postergar não está pra vencer nas próximas 72hrs,nao consigo visualizar
Preciso habilitar meu celular novo para fazer pagamento de conta pelo App,na minha conta
Não e nenhum desses,nao consigo visualizar
Banco do Brasil,banco do brasil
Quero saber sobre essas duas contas,quero saber como
Código de ativação,codigo de ativacao
Oi eu keria faser um em prestimo  poso ou não,o pagamento da
Não tenho a conta cadastrada no aplicativo,nao consigo visualizar
Como faço para pedir manutenção da máquina de cartão,e como faco
Codico de segurança,o pagamento da
As duas  nao tenho nenhuma,nao me enviou
Preciso da chave de minha  corrente,da minha conta
Meu App não aparece meu limite,nao consigo visualizar
Como desabilitar aproximação do cartão débito?,aproximacao do cartao
Como desabilitar aproximação do cartão débito,aproximacao do cartao
Meu aplicativo da erro para ver o limite do cartão,nao consigo visualizar
Como desabilitar aproximação do cartão débito,aproximacao do cartao
Aproximação do cartão,aproximacao do cartao
Como desabilitar aproximação do cartão,aproximacao do cartao
Não consigo ver meu limite pelo aplicativo,nao consigo visualizar
Prefeitura Municipal de JoãoPessoa,o pagamento da
Suporte da maquininha,o pagamento da
Ativar tag pedágio,o pagamento da
Poupar e ganhar,o pagamento da
Eu paguei uma conta errada tinha pago tem como canselar,na minha conta
Nao e esse nao o meu,nao me enviou
Eu posso comprar no crédito parcelado com cartão Sicredi?,cartao de credito
Não estou conseguindo fazer transferência preciso de uma liberação,fiz uma transferencia
Qual valor pago mensal pro sicred?,qual e o
Como ativo minha conta para meu cartão vir?,da minha conta
Tenho q fazer minha primeira transferência de 100 reais,da minha conta
Ja paguei a fatura do mês de novembro,o pagamento da
Quero saber se tenho limite disponível para financiamento,quero saber como
Não consegui verificar no app,nao consigo visualizar
Nenhuma das opções,o pagamento da
Meu cartão de crédito já está a caminho ?,cartao de credito
Como antecipar a transferência para finais de semana,quero saber como
Nenhuma das opções,o pagamento da
transferência em final de semana,quero saber como
Como funciona o cartão de crédito sicredi,cartao de credito
Débito em conta,debito sem ter
Desabilitar pagamento por aproximação,aproximacao do cartao
Preciso da letra do meu cartão,preciso desbloquear meu
Recuperação da letra do cartão,o pagamento da
Recuperar letra do cartão,o pagamento da
Quero estornar uma cobrança no meu cartão de crédito,cartao de credito
Ja efetue o pagamento da fatura do mês de 05 do mês 11,o pagamento da
Cartão de crédito,cartao de credito
É só para informar o pagamento da fatura,o pagamento da
Código de ativação do APP,codigo de ativacao
Quantas parcela falta do meu empréstimo,valor da parcela
Entrarei em contato mais tarde,o pagamento da
Nenhuma das opcoes,o pagamento da
Me manda por e-mail,nao me enviou
"O meu aplicativo não esta abrindo, não consigo acessa-lo",nao consigo visualizar
Não consigo acessa o app,nao consigo visualizar
Não consigo sacar dinheiro e tenho dinheiro na conta,nao consigo visualizar
Pediu outro cartão,o pagamento da
Pedir outro cartão o meu está estragando,fiz uma transferencia
Não consigo visualizar,nao consigo visualizar
Seguro Sul Americas,o pagamento da
"Fiz uma tranferencia ontem e foi estornada, queria saber o motivo??",fiz uma transferencia
"Entrei no aplicativo, porém diz que está bloqueado ainda",qual e o
Posso comprar com ele sendo que o meu cartão tradicional está bloqueado,qual e o
E como entro em contato,e como faco
Não consigo desbloquear ele pelo aplicativo sicredi,nao consigo visualizar
Queria faze o cancelamento da conta,da minha conta
Não estou conseguindo desbloquear meu cartão no aplicativo,preciso desbloquear meu
Não está sendo aprovado o pagamento na máquina de cartão,fiz uma transferencia
Gostaria de sabe sobre emprestimo,de saber se
Queria ver a situacao de uma divida que tenho,fiz uma transferencia
Banco do Brasil,banco do brasil
Vence dia 15/11,no dia util
15/11 pago minhas compras,no dia util
Tenho que pagar dia 15/11?,no dia util
Qual é minha conta é agência,da minha conta
Minha conta não abriu,da minha conta
Código acesso internet bancking,o pagamento da
Deixa baixo terça vou no banco,banco do brasil
"Minha transferência não foi concretizada, qual o procedimento?",qual e o
Faser transferência do investimento pra conta corrente,da minha conta
Preciso transferir meu dinheiro do investimento pra conta corrente,da minha conta
Quero inibir a fatura,quero saber como
E como entro em contato  ?,e como faco
E como faço isso,e como faco
Minha senha bloqueou e não consigo pagar minhas faturas pelo aplicativo,nao consigo visualizar
Sair da conversa,o pagamento da
Como realizar o pagamento da GPS pelo app,o pagamento da
Solicitar limite de credito,cartao de credito
Cartão de Crédito,cartao de credito
Péssimo esse atendimento,o pagamento da
Pode me ajudar por favor,nao me enviou
Não utilizo o aplicativo.,nao consigo visualizar
Queria como fazer pra recuperar meu código,e como faco
Eu preciso desbloquear meu aplicativo do Sicredi,preciso desbloquear meu
Preciso do meu código,preciso desbloquear meu
Nao me ajudar,nao me enviou
Como busco o número do grupo e a cota do meu consórcio?,na minha conta
Cai num golpe tem como recuperar meu dinheiro,na minha conta
Recuperar o dinheiro transferido,o pagamento da
Fiz uma transferência e me dei conta q era um golpe,fiz uma transferencia
Fiz uma transferência e me arrependi tem como recuperar meu dinheiro,fiz uma transferencia
Cartao de  credito,cartao de credito
cartao de credito,cartao de credito
Como eu faço um novo cadastro na minha conta?,na minha conta
cartao de credito,cartao de credito
saldo da fatura errado,debito sem ter
Fechamento da fatura,o pagamento da
Eu troquei de celular,na minha conta
"Tenho limite e ele nao passou no posto de gasolina, quero saber porque",quero saber como
Preciso que liberem meu cartão de crédito,cartao de credito
Validação de segurança,o pagamento da
Troca de aparelho de celular,na minha conta
Preciso ativar o tokenni celular,preciso desbloquear meu
Troquei de aparelho de celular,na minha conta
Não consigo realizar uma transferência da minha conta pelo celular,nao consigo visualizar
Não consigo fazer uma transferência do celular,nao consigo visualizar
Quero cadastrar outro número de celular na minha conta,na minha conta
Não consegui cadastrar meu celular,na minha conta
"Meu cartão estragou, preciso de um novo, como faço para conseguir outro?",na minha conta
Como ativo meu aplicativo,preciso desbloquear meu
Como eu cadastro o meu número novo de celular,na minha conta
Só posso fazer pagamentos nos dias úteis,qual e o
Pagamentos somente no dia útil,no dia util
O meu número mudou por isso nao recebi o sms,nao me enviou
Não estou conseguindo usar minha conta,da minha conta
Aumento de limite,quero saber como
Código de ativação,codigo de ativacao
Troca de aparelho,na minha conta
Nenhuma das opções,o pagamento da
"Alterei minha fatura para débito automático, mas gostaria de continuar pagando pelo app",de saber se
Preciso passar o cartão,preciso desbloquear meu
Cartão de crédito,cartao de credito
Gostaria de ter um cartão de credito,cartao de credito
Código de ativação,codigo de ativacao
Quero gerar o código de ativação de segurança,codigo de ativacao
Manda o código de ativação,codigo de ativacao
Gostaria de fazer um resgate de investimento em horário não útil,de saber se
Troquei de número e de celular e não fui na agência mudar,na minha conta
Qual o fone,qual e o
Cartão cancelado  O que faço com compras que não foram pagas,e como faco
"Cartão cancelado, o que faço com compras pendente",e como faco
Q não foi descontado,nao consigo visualizar
Quero saber se a minha probalidade foi aceita,de saber se
Como posso saber de uma compra realizada no meu cartão,fiz uma transferencia
Probalidade se foi aprovado,de saber se
Financiamento de veículos,quero saber como
Pagamento de licenciamento,o pagamento da
Não obrigado vc não me ajudou,nao me enviou
Tem como eu ver isso no meu aplicativo?,nao consigo visualizar
Da mensagem não disponível pra mim,o pagamento da
Gostaria colocar crédito meu celular e marido mas não está disponível,de saber se
Boa noite em você pide me ajudar bloquiei asenha do meu cartão,nao me enviou
E tinha 100$,o pagamento da
Consigo fazer online?,nao consigo visualizar
É necessário marcar hora para ir até o banco?,banco do brasil
é preciso marcar algum horário para ir até o banco solicitar o cartão?,banco do brasil
Paraguai ida e volta dia 02,no dia util
Gastaria de saber quanto tenho na conta,quero saber como
Gostaria do estrato da minha conta,da minha conta
Reenviar código de ativação,codigo de ativacao
Código de ativação,codigo de ativacao
Qual dias úteis posso utilizar o TED?,qual e o
Desbloquear minha conta,da minha conta
Ted pode ser feito no sábado?,o pagamento da
Desbloquear minha conta,da minha conta
qual é o aplicativo oficial do sicredi?,qual e o
Como é o nome do aplicativo do sicredi,nao consigo visualizar
Como é o nome do aplicativo ?,nao consigo visualizar
Estorno na fatura do cartão de credito,cartao de credito
Descontaram uma parcela do meu empréstimo indevidamente .,valor da parcela
Movistar com de mat de construção Ltda,o pagamento da
Não consigo visualizar a senha,nao consigo visualizar
Cartão está desbloqueado mas não consigo visualizar a senha,nao consigo visualizar
Não lembro o email que cadastrei no programa de milhagem,qual e o
Fazer cash back,o pagamento da
Cartão de crédito,cartao de credito
Oi como faz para fazer desbloquear      o cartão  por tentativa  de senha,e como faco
Eu mandei no seu particular hehe mas vou mandar aqui de novo,na minha conta
Eu quero cancelar esta transferencia porque foi um golpe,de saber se
Sim preciso efetuar o pagamento da fatura,o pagamento da
"Porque foi debitado o valor de 242,18 Da minha conta?",da minha conta
Quero migrar de cartão,quero saber como
Eu quero saber aumentar o limite do meu cartão,quero saber como
Quero fazer o financiamento de automóvel,quero saber como
Informações sobre financiamento de automóveis,quero saber como
Informações sobre financiamento,quero saber como
Disponibilidade de financiamento,quero saber como
Quero recuperar minha conta,da minha conta
Esqueci minja conta,da minha conta
Quero visualizar a minha conta,da minha conta
Não consigo entra no app,nao consigo visualizar
Limite disponível.. crédito. Conta corrente,da minha conta
Casa de alvenaria,o pagamento da
Ao faser a transação quando confirmo aparece código de segurança,o pagamento da
"Ontem fiz uma transferência de 200 reais, Mas um número  a mais",fiz uma transferencia
Não consigo pagar boletos e carregar meu celular,nao consigo visualizar
Valor prestação do empréstimo,valor da parcela
Queria saber valor da prestação,quero saber como
Porque  não tive  estorno  de 200 reais,e como faco
Sobre o poupar e ganhar se estou participando,de saber se
Sobre o poupa e ganhar demore se estou participando,de saber se
Gostaria. Sei saber do grama poupar e ganhar,de saber se
Tentei sacar dinheiro e apareceu q estava bloqueado?,o pagamento da
Cartão de crédito,cartao de credito
Cartão de crédito,cartao de credito
Sobre o valor da parcela do empréstimo?,valor da parcela
Como ativo meu sistema de aegurança??,na minha conta
E como faço o estorno?,e como faco
Desinstalei sem querer o aplicativo,debito sem ter
Quero fazer um estorno vc pode me esplicar como fazer,e como faco
Preciso desbloquear meu aplicativo,preciso desbloquear meu
fiz uma compra no cartão e não está constando o pagamento,fiz uma transferencia
Não abre o link enviado,nao consigo visualizar
Minha fatura do cartão tá outro valor não a que eu gastei,qual e o
Fiz uma compra com um valor mais agora tá outro,fiz uma transferencia
Eu fis o pagamento e aínda não veio meu crédito,nao consigo visualizar
E como faço para pegar a raspadinha,e como faco
Cartão de crédito,cartao de credito
Estou recebendo uma mensagem que meu cartão tá sendo usado,fiz uma transferencia
Preciso desbloquear meu aplicativo troquei,preciso desbloquear meu
Porque tenho duas contas ativas?,quero saber como
Porque tenho duas contas?,quero saber como
Habilitar código de segurança para pagamento e transferência pelo app,codigo de ativacao
Preciso desbloquear meu aplicativo,preciso desbloquear meu
Não está habilitado,nao consigo visualizar
Aplicativo não realiza transferência,nao consigo visualizar
Aplicativo diz que não está habilitado para realizar transferência,qual e o
Qual o aplicativo que é usado ?,qual e o
Resultado de pedido de empréstimo,valor da parcela
Fiz um pedido de empréstimo é quero saber se foi aprovado?,de saber se
Saber resultado do meu pedido de empréstimo,valor da parcela
Antecipação de cartão,cartao de credito
Recebi essa msg,o pagamento da
Cartao de crédito Rodrigo Queiróz Gonçalves,cartao de credito
Como faço para regularizar meus débitos,e como faco
Conta corrente está debitando a mais,da minha conta
Recebi esta mag o que devo fazer??,qual e o
Qual o limite de pagamento no aplicativo?,qual e o
Até que valor posso pagar boleto pelo aplicativo?,qual e o
Qual é o valor de boleto que posso pagar no aplicativo?,qual e o
Valor limite de pagamento de boleto no app,qual e o
Me equivoquei em um deposito feito ha alguns minutos,o pagamento da
Banco do Brasil,banco do brasil
há tenho o aplicativo,quero saber como
Quero saber como está minhas situação no banco,quero saber como
Quero saber do status da minha conta,da minha conta
Como consigo falar com uma central,nao consigo visualizar
Pode ser audio,o pagamento da
Quero fazer estorno de cartão de cliente,e como faco
Tenho usado pouco o chewuev,quero saber como
Vou ver aqui,nao consigo visualizar
Quem é meu gerente de conta?,da minha conta
Qual é meu gerente?,qual e o
Mais eu paguei  td hj,o pagamento da
Transação não permitida,nao consigo visualizar
Quando finaliza aparece uma mensagem,fiz uma transferencia
Não estou conseguindo efetuar pagamento pelo aplicativo,nao consigo visualizar
Banco do Brasil,banco do brasil
Qual limite da minha conta,da minha conta
Eu gostaria de saber quanto posso gasta no débito sem ter o dinheiro,debito sem ter
Queria saber qual meu limite da conta debito,quero saber como
Preciso do extrato de quitação do meu consignado para portabilidada,na minha conta
Banco do Brasil,banco do brasil
Como consegui usar débito sem dinheiro na conta?,debito sem ter
Qual o número da central de atendimento,na minha conta
Número do cheque 000061,na minha conta
Posso usar meu cartão no débito sem ter saldo na conta?,debito sem ter
Como meu cartão passou no débito se não havia saldo?,debito sem ter
Qual seria as bandeiras?,qual e o
Quero acessar meu seguro de vida,quero saber como
Eu quero saber como anda a fatura do meu cartao,quero saber como
Eu gostaria de saber se está m,de saber se
Existe pendências na minha conta do Sicredi?,da minha conta
Quero pagar agora,quero saber como
Gostaria de vericar as pendências da minha conta,da minha conta
Minha conta está bloqueada?,da minha conta
Gostaria de saber sobre meu financiamento de um veículo,de saber se
Posso solicitar a tag pedágios?,qual e o
Codigo de letrad,o pagamento da
Posso solicitar o tag?,qual e o
Car tão crédito,cartao de credito
Contestação de parcela,valor da parcela
Esses horários a cima não posso ir no banco,qual e o
Não posso esses horários,qual e o
Dúvida de um estorno de compra a credito,cartao de credito
Troquei de celular e não consigo fazer transferência,nao consigo visualizar
Não tenho contato com a gerência,quero saber como
estou tentando fazer de minha conta pra outra conta não está dando certo,da minha conta
Como saber o dia e valor do financiamento,quero saber como
para outra conta,da minha conta
Dia do pagamento,no dia util
Valor e dia da parcela,valor da parcela
"Ver o dia e valor da parcela, financiamento já contratado",valor da parcela
Troquei de celular e não consigo fazer transferências,nao consigo visualizar
Marlene Bento dos Santos,o pagamento da
E o CNPJ da sua empresa vc vai informar 10.491.489/0001-03,o pagamento da
Abri hoje não ganhei ainda,nao consigo visualizar
Solicitei e ele não me enviou,nao me enviou
Como falo com a Central de atendimento?,e como faco
Ele não me enviou,nao me enviou
Receber uma transferência,fiz uma transferencia
Tem como vc arrumar,e como faco
Na razão social está meu nome tem que colocar o nome da empresa,o pagamento da
